http://purl.org/pan-science/PaNET/PaNET02301,ID,Label,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Parent,Parent,Equivalent to definedByProbe,Equivalent to definedByProcess,Equivalent to definedByDependence,Equivalent to definedByPurpose,Equivalent,Equivalent ,Disjoint Classes,Individual,Property Assertions,Super Property,Domain,Range
,ID,A rdfs:label,A http://www.w3.org/2004/02/skos/core#altLabel,A http://www.w3.org/2004/02/skos/core#altLabel,A IAO:0000115,A IAO:0000119,TYPE,SC %,SC %,EC definedByProbe some %,EC definedByProcess some %,EC definedByDependence some %,EC definedByPurpose some  %,EC %,EC %,DC %,TI %,I 'hasTechnique',SP %,DOMAIN,RANGE
,,,,,,,,,,,,,,,,,,,,,
Base IRI,,http://purl.org/pan-science/PaNET/,,,,,,,,,,,,,,,,,,,
Root name,,PaNET,,,,,,,,,,,,,,,,,,,
ID number,,,,,,,,,,,,,,,,,,,,,
1,http://purl.org/pan-science/PaNET/PaNET00001,photon and neutron technique,,,"A technique in the domain of neutron, muon and accelerator-based light sources",,owl:Class,owl:Thing,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2,http://purl.org/pan-science/PaNET/PaNET00002,defined by experimental probe,,,A technique defined by its experimental probe type,,owl:Class,,,Probe,,,,,,,,,,,
3,http://purl.org/pan-science/PaNET/PaNET00003,defined by process,,,A technique defined by a physical process,,owl:Class,,,,Process,,,,,,,,,,
4,http://purl.org/pan-science/PaNET/PaNET00004,defined by functional dependence,,,A technique defined by its functional dependence,,owl:Class,,,,,Functional Dependence,,,,,,,,,
5,http://purl.org/pan-science/PaNET/PaNET00005,defined by purpose,,,A technique defined by its goal or purpose,,owl:Class,,,,,,Purpose,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
100,http://purl.org/pan-science/PaNET/PaNET00100,photon probe_technique,,,,,owl:Class,,,photon,,,,,,,,,,,
101,http://purl.org/pan-science/PaNET/PaNET00101,neutron probe_technique,,,,,owl:Class,,,neutron,,,,,,,,,,,
102,http://purl.org/pan-science/PaNET/PaNET00102,muon probe_technique,,,,,owl:Class,,,muon,,,,,,,,,,,
103,http://purl.org/pan-science/PaNET/PaNET00103,solid probe_technique,,,,,owl:Class,,,solid probe,,,,,,,,,,,
104,http://purl.org/pan-science/PaNET/PaNET00104,scanning probe_technique,,,,,owl:Class,,,scanning probe,,,,,,,,,,,
105,http://purl.org/pan-science/PaNET/PaNET00105,pulsed probe_technique,,,A technique for which a pulsed probe is essential,,owl:Class,,,pulsed probe,,,,,,,,,,,
106,http://purl.org/pan-science/PaNET/PaNET00106,microfocussed probe_technique,,,,,owl:Class,,,microfocussed probe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
